Season,Team,Champion,GP,W,L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
2004,Los Angeles Clippers,FALSE,82,37,45,7849,2924,6368,45.9,231,669,34.5,1770,2274,77.8,980,2455,3435,1901,599,422,1290,1819
2005,Los Angeles Clippers,FALSE,82,47,35,7970,2993,6443,46.5,290,843,34.4,1694,2142,79.1,828,2704,3532,1708,534,503,1185,1872
2006,Los Angeles Clippers,FALSE,82,40,42,7843,2880,6318,45.6,314,903,34.8,1769,2245,78.8,888,2484,3372,1762,596,472,1239,1858
2007,Los Angeles Clippers,FALSE,82,23,59,7692,2820,6445,43.8,350,1079,32.4,1702,2178,78.1,800,2491,3291,1732,557,398,1180,1745
2008,Los Angeles Clippers,FALSE,82,19,63,7799,2955,6696,44.1,535,1513,35.4,1354,1839,73.6,890,2377,3267,1723,572,482,1221,1650
2009,Los Angeles Clippers,FALSE,82,29,53,7849,3002,6601,45.5,483,1457,33.2,1362,1867,73,927,2502,3429,1810,532,466,1285,1581
2010,Los Angeles Clippers,FALSE,82,32,50,8089,3015,6594,45.7,513,1519,33.8,1546,2187,70.7,955,2501,3456,1813,585,402,1343,1733
2011,Los Angeles Clippers,FALSE,66,40,26,6438,2439,5366,45.5,514,1441,35.7,1046,1538,68,800,1943,2743,1385,556,315,879,1399
2012,Los Angeles Clippers,FALSE,82,56,26,8289,3160,6608,47.8,627,1752,35.8,1342,1888,71.1,938,2475,3413,1958,784,461,1197,1716
2013,Los Angeles Clippers,FALSE,82,57,25,8850,3208,6761,47.4,693,1966,35.2,1741,2384,73,858,2668,3526,2016,703,397,1136,1767
1967,San Diego Rockets,FALSE,82,15,67,9015,3466,0,0,0,0,0,0,2929,71.1,0,0,0,1837,0,0,0,2188
1968,San Diego Rockets,FALSE,82,37,45,9456,3691,0,0,0,0,0,0,3039,68.2,0,0,0,1925,0,0,0,2110
1969,San Diego Rockets,FALSE,82,27,55,9732,3866,0,0,0,0,0,0,2728,73.3,0,0,0,2036,0,0,0,2096
1970,San Diego Rockets,FALSE,82,40,42,9282,3547,0,0,0,0,0,0,2921,74.9,0,0,0,1921,0,0,0,2128
1971,Houston Rockets,FALSE,82,34,48,8993,3590,0,0,0,0,0,0,2424,74.8,0,0,0,1777,0,0,0,1992
1972,Houston Rockets,FALSE,82,33,49,9250,3772,0,0,0,0,0,0,2152,79.3,0,0,0,1939,0,0,0,1949
1973,Houston Rockets,FALSE,82,32,50,8810,3564,0,0,0,0,0,0,2071,81.2,1063,2588,3651,2212,727,407,1681,2104
1974,Houston Rockets,FALSE,82,41,41,8521,3448,0,0,0,0,0,0,2034,79.9,1177,2495,3672,2155,746,351,1759,2068
1975,Houston Rockets,FALSE,82,40,42,8708,3546,0,0,0,0,0,0,2046,79,1059,2644,3703,2213,656,359,1665,2045
1976,Houston Rockets,FALSE,82,49,33,8726,3535,0,0,0,0,0,0,2103,78.7,1254,2632,3886,1913,616,411,1600,2132
1977,Houston Rockets,FALSE,82,28,54,8513,3523,0,0,0,0,0,0,1896,77.4,1301,2421,3722,1942,683,319,1376,2025
1978,Houston Rockets,FALSE,82,47,35,9297,3726,0,0,0,0,0,0,2330,79.2,1256,2504,3760,2302,632,286,1510,2001
1979,Houston Rockets,FALSE,82,41,41,9084,3599,0,0,104,0,0,0,2326,76.6,1394,2217,3611,2149,782,373,1565,1927
1980,Houston Rockets,FALSE,82,40,42,8878,3573,0,0,21,0,0,0,2223,77,1216,2347,3563,2099,705,390,1451,1901
1981,Houston Rockets,FALSE,82,46,36,8680,3504,0,0,50,0,0,0,2225,72.9,1403,2284,3687,1977,648,429,1321,1871
1982,Houston Rockets,FALSE,82,14,68,8145,3338,7446,44.8,67,271,24.7,1402,1934,72.5,1206,2260,3466,1931,646,422,1571,2131
1983,Houston Rockets,FALSE,82,29,53,9071,3729,7533,49.5,30,154,19.5,1583,2139,74,1200,2483,3683,2204,621,515,1562,2317
1984,Houston Rockets,FALSE,82,48,34,9118,3748,7440,50.4,41,186,22,1581,2261,69.9,1325,2395,3720,2239,683,597,1605,2033
1985,Houston Rockets,FALSE,82,51,31,9379,3759,7671,49,85,310,27.4,1776,2434,73,1316,2434,3750,2318,745,551,1374,1991
1986,Houston Rockets,FALSE,82,42,40,8765,3465,7262,47.7,89,324,27.5,1746,2355,74.1,1190,2481,3671,2227,654,555,1384,1973
1987,Houston Rockets,FALSE,82,46,36,8935,3465,7354,47.1,69,291,23.7,1936,2483,78,1239,2530,3769,1936,712,502,1367,1865
1988,Houston Rockets,FALSE,82,45,37,8897,3412,7196,47.4,164,523,31.4,1909,2527,75.5,1211,2554,3765,2016,789,501,1569,2026
1989,Houston Rockets,FALSE,82,41,41,8752,3483,7250,48,153,491,31.2,1633,2267,72,1217,2638,3855,2194,809,551,1513,1934
1990,Houston Rockets,FALSE,82,52,30,8753,3403,7287,46.7,316,989,32,1631,2200,74.1,1275,2508,3783,1906,796,409,1402,1874
1991,Houston Rockets,FALSE,82,42,40,8366,3273,6894,47.5,329,959,34.3,1491,2020,73.8,1074,2432,3506,2058,656,571,1378,1769
1992,Houston Rockets,FALSE,82,55,27,8531,3280,6744,48.6,387,1073,36.1,1584,2090,75.8,985,2532,3517,2115,682,543,1295,1699
1993,Houston Rockets,TRUE,82,58,24,8292,3197,6733,47.5,429,1285,33.4,1469,1978,74.3,926,2619,3545,2087,717,485,1338,1646
1994,Houston Rockets,TRUE,82,47,35,8491,3159,6579,48,646,1757,36.8,1527,2039,74.9,880,2440,3320,2060,721,514,1322,1714
1995,Houston Rockets,FALSE,82,48,34,8404,3078,6638,46.4,637,1761,36.2,1611,2106,76.5,919,2455,3374,1982,645,476,1245,1753
