Season,Team,Champion,GP,W,L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
1996,Houston Rockets,FALSE,82,57,25,8248,3037,6484,46.8,671,1839,36.5,1503,1992,75.5,927,2565,3492,2013,685,347,1365,1610
1997,Houston Rockets,FALSE,82,41,41,8099,2946,6513,45.2,573,1670,34.3,1634,2120,77.1,987,2350,3337,1799,686,294,1298,1653
1998,Houston Rockets,FALSE,50,31,19,4711,1755,3798,46.2,336,914,36.8,865,1187,72.9,536,1540,2076,1058,386,260,812,960
1999,Houston Rockets,FALSE,82,34,48,8156,3001,6664,45,581,1625,35.8,1573,2145,73.3,1008,2586,3594,1774,613,438,1425,1663
2000,Houston Rockets,FALSE,82,45,37,7972,2943,6494,45.3,504,1412,35.7,1582,2086,75.8,919,2524,3443,1613,587,358,1204,1657
2001,Houston Rockets,FALSE,82,28,54,7572,2837,6629,42.8,496,1480,33.5,1402,1893,74.1,1025,2411,3436,1482,537,445,1156,1476
2002,Houston Rockets,FALSE,82,43,39,7688,2840,6461,44,439,1267,34.6,1569,2044,76.8,1024,2564,3588,1506,594,493,1276,1602
2003,Houston Rockets,FALSE,82,45,37,7362,2738,6195,44.2,515,1406,36.6,1371,1774,77.3,847,2647,3494,1579,560,443,1373,1762
2004,Houston Rockets,FALSE,82,51,31,7796,2846,6419,44.3,553,1521,36.4,1551,1986,78.1,874,2601,3475,1733,563,378,1135,1807
2005,Houston Rockets,FALSE,82,34,48,7387,2708,6252,43.3,469,1414,33.2,1502,1980,75.9,849,2565,3414,1580,588,320,1193,1863
2006,Houston Rockets,FALSE,82,52,30,7953,2906,6528,44.5,705,1893,37.2,1436,1906,75.3,880,2673,3553,1704,583,337,1162,1710
2007,Houston Rockets,FALSE,82,55,27,7931,3003,6698,44.8,583,1707,34.2,1342,1848,72.6,1002,2659,3661,1757,598,420,1125,1609
2008,Houston Rockets,FALSE,82,53,29,8070,2959,6526,45.3,621,1656,37.5,1531,1903,80.5,862,2662,3524,1662,548,355,1158,1553
2009,Houston Rockets,FALSE,82,42,40,8395,3094,6923,44.7,646,1838,35.1,1561,2022,77.2,971,2471,3442,1790,583,318,1188,1712
2010,Houston Rockets,FALSE,82,43,39,8685,3170,6975,45.4,677,1843,36.7,1668,2083,80.1,962,2549,3511,1955,581,371,1110,1641
2011,Houston Rockets,FALSE,66,34,32,6474,2489,5543,44.9,478,1330,35.9,1018,1301,78.2,769,2014,2783,1404,496,319,955,1347
2012,Houston Rockets,FALSE,82,45,37,8688,3124,6782,46.1,867,2369,36.6,1573,2087,75.4,909,2652,3561,1902,679,359,1348,1662
2013,Houston Rockets,FALSE,82,54,28,8829,3118,6603,47.2,779,2179,35.8,1814,2549,71.2,920,2797,3717,1755,621,461,1323,1676
1967,Seattle SuperSonics,FALSE,82,23,59,9732,3772,0,0,0,0,0,0,3042,71.9,0,0,0,1998,0,0,0,2372
1968,Seattle SuperSonics,FALSE,82,30,52,9191,3543,0,0,0,0,0,0,2979,70.7,0,0,0,1927,0,0,0,2281
1969,Seattle SuperSonics,FALSE,82,36,46,9589,3709,0,0,0,0,0,0,2851,76.1,0,0,0,2214,0,0,0,2175
1970,Seattle SuperSonics,FALSE,82,38,44,9429,3664,0,0,0,0,0,0,2790,75.3,0,0,0,2049,0,0,0,1917
1971,Seattle SuperSonics,FALSE,82,47,35,8957,3461,0,0,0,0,0,0,2659,76.5,0,0,0,1976,0,0,0,1738
1972,Seattle SuperSonics,FALSE,82,26,56,8500,3447,0,0,0,0,0,0,2080,77.2,0,0,0,1958,0,0,0,1877
1973,Seattle SuperSonics,FALSE,82,36,46,8774,3584,0,0,0,0,0,0,2095,76.7,1323,2706,4029,2106,689,294,1622,2074
1974,Seattle SuperSonics,FALSE,82,43,39,8451,3488,0,0,0,0,0,0,1970,74.9,1142,2579,3721,1997,837,378,1610,1977
1975,Seattle SuperSonics,FALSE,82,43,39,8726,3542,0,0,0,0,0,0,2309,71.1,1217,2498,3715,1935,866,355,1615,2133
1976,Seattle SuperSonics,FALSE,82,40,42,8524,3439,0,0,0,0,0,0,2386,69,1355,2433,3788,1772,932,503,1759,2198
1977,Seattle SuperSonics,FALSE,82,47,35,8565,3445,0,0,0,0,0,0,2352,71.2,1456,2601,4057,1799,782,429,1636,2008
1978,Seattle SuperSonics,TRUE,82,52,30,8740,3504,0,0,0,0,0,0,2298,75.4,1310,2591,3901,1973,690,398,1586,1914
1979,Seattle SuperSonics,FALSE,82,56,26,8897,3554,0,0,59,0,0,0,2253,76.8,1380,2550,3930,2043,750,428,1496,1865
1980,Seattle SuperSonics,FALSE,82,34,48,8531,3343,0,0,32,0,0,0,2376,76.3,1167,2434,3601,1945,628,438,1524,1986
1981,Seattle SuperSonics,FALSE,82,52,30,8795,3505,0,0,38,0,0,0,2362,74,1103,2544,3647,2103,691,460,1351,2057
1982,Seattle SuperSonics,FALSE,82,48,34,9019,3597,7277,49.4,29,138,21,1796,2459,73,1152,2569,3721,2278,677,437,1533,1969
1983,Seattle SuperSonics,FALSE,82,42,40,8865,3460,7083,48.8,27,140,19.3,1918,2460,78,1064,2332,3396,2233,636,350,1360,1884
1984,Seattle SuperSonics,FALSE,82,31,51,8376,3277,6910,47.4,45,185,24.3,1777,2305,77.1,1019,2287,3306,2185,649,343,1493,1974
1985,Seattle SuperSonics,FALSE,82,31,51,8564,3335,7059,47.2,79,300,26.3,1815,2331,77.9,1145,2256,3401,1977,745,296,1435,2168
1986,Seattle SuperSonics,FALSE,82,39,43,9325,3593,7451,48.2,191,571,33.5,1948,2571,75.8,1373,2395,3768,2184,705,450,1509,2224
1987,Seattle SuperSonics,FALSE,82,44,38,9135,3544,7443,47.6,221,638,34.6,1826,2442,74.8,1313,2314,3627,2146,775,447,1376,2380
1988,Seattle SuperSonics,FALSE,82,47,35,9196,3564,7478,47.7,293,774,37.9,1775,2379,74.6,1397,2238,3635,2083,864,494,1403,2027
1989,Seattle SuperSonics,FALSE,82,41,41,8769,3466,7243,47.9,231,650,35.5,1606,2167,74.1,1323,2255,3578,1874,701,335,1336,2064
1990,Seattle SuperSonics,FALSE,82,41,41,8744,3500,7117,49.2,136,427,31.9,1608,2143,75,1222,2173,3395,2042,861,380,1404,1973
1991,Seattle SuperSonics,FALSE,82,47,35,8737,3380,7128,47.4,205,647,31.7,1772,2263,78.3,1282,2257,3539,1877,775,448,1323,1952
1992,Seattle SuperSonics,FALSE,82,55,27,8884,3473,7140,48.6,218,610,35.7,1720,2259,76.1,1222,2254,3476,1906,944,409,1267,1971
1993,Seattle SuperSonics,FALSE,82,63,19,8687,3338,6901,48.4,242,722,33.5,1769,2374,74.5,1148,2233,3381,2112,1053,365,1262,1914
1994,Seattle SuperSonics,FALSE,82,57,25,9055,3310,6741,49.1,491,1305,37.6,1944,2564,75.8,1068,2337,3405,2115,917,392,1295,2067
1995,Seattle SuperSonics,FALSE,82,64,18,8572,3074,6401,48,581,1596,36.4,1843,2424,76,954,2449,3403,1999,882,393,1441,1967
1996,Seattle SuperSonics,FALSE,82,57,25,8274,2995,6415,46.7,559,1583,35.3,1725,2295,75.2,1010,2271,3281,1931,904,388,1231,1803
1997,Seattle SuperSonics,FALSE,82,61,21,8246,3052,6458,47.3,621,1569,39.6,1521,2109,72.1,931,2225,3156,1986,804,376,1145,1812
1998,Seattle SuperSonics,FALSE,50,25,25,4743,1756,3976,44.2,309,899,34.4,922,1354,68.1,676,1422,2098,1087,393,201,765,1047
1999,Seattle SuperSonics,FALSE,82,45,37,8125,3108,6946,44.7,546,1611,33.9,1363,1960,69.5,1042,2483,3525,1878,657,345,1152,1776
2000,Seattle SuperSonics,FALSE,82,44,38,7978,3029,6649,45.6,466,1169,39.9,1454,1986,73.2,999,2422,3421,1792,657,409,1252,1733
2001,Seattle SuperSonics,FALSE,82,45,37,8014,3131,6681,46.9,489,1292,37.8,1263,1672,75.5,968,2333,3301,1926,698,364,1124,1732
2002,Seattle SuperSonics,FALSE,82,40,42,7555,2887,6599,43.7,456,1291,35.3,1325,1780,74.4,963,2385,3348,1775,679,295,1085,1712
2003,Seattle SuperSonics,FALSE,82,37,45,7964,2939,6590,44.6,723,1936,37.3,1363,1782,76.5,907,2318,3225,1782,661,387,1188,1784
2004,Seattle SuperSonics,FALSE,82,52,30,8113,2882,6498,44.4,666,1824,36.5,1683,2131,79,1041,2311,3352,1487,553,338,1113,1944
2005,Seattle SuperSonics,FALSE,82,35,47,8411,3077,6711,45.9,605,1631,37.1,1652,2104,78.5,1013,2233,3246,1696,622,306,1208,1933
2006,Seattle SuperSonics,FALSE,82,31,51,8130,3047,6628,46,525,1451,36.2,1511,1911,79.1,928,2322,3250,1695,631,301,1268,1801
2007,Seattle SuperSonics,FALSE,82,20,62,7999,3125,7032,44.4,313,939,33.3,1436,1866,77,971,2688,3659,1748,531,400,1310,1680
2008,Oklahoma City Thunder,FALSE,82,23,59,7952,2999,6716,44.7,328,949,34.6,1626,2069,78.6,999,2497,3496,1663,608,371,1330,1655
2009,Oklahoma City Thunder,FALSE,82,50,32,8322,3063,6629,46.2,418,1229,34,1778,2210,80.5,960,2607,3567,1639,654,481,1227,1743
2010,Oklahoma City Thunder,FALSE,82,55,27,8596,3066,6609,46.4,487,1403,34.7,1977,2401,82.3,903,2604,3507,1672,654,487,1156,1836
2011,Oklahoma City Thunder,FALSE,66,47,19,6802,2462,5229,47.1,472,1317,35.8,1406,1744,80.6,726,2157,2883,1224,498,539,1079,1352
2012,Oklahoma City Thunder,FALSE,82,60,22,8669,3126,6504,48.1,598,1588,37.7,1819,2196,82.8,854,2725,3579,1753,679,624,1253,1654
2013,Oklahoma City Thunder,FALSE,82,59,23,8705,3194,6782,47.1,664,1839,36.1,1653,2052,80.6,887,2781,3668,1794,678,501,1256,1858
1948,Minneapolis Lakers,TRUE,60,44,16,5042,1885,0,0,0,0,0,0,1759,72.3,0,0,0,1134,0,0,0,1386
1949,Minneapolis Lakers,TRUE,68,51,17,5717,2139,0,0,0,0,0,0,1943,74.1,0,0,0,1406,0,0,0,1672
1950,Minneapolis Lakers,FALSE,68,44,24,5632,2084,0,0,0,0,0,0,1989,73.6,0,0,0,1408,0,0,0,1801
1951,Minneapolis Lakers,TRUE,66,40,26,5648,2106,0,0,0,0,0,0,1921,74.8,0,0,0,1389,0,0,0,1763
1952,Minneapolis Lakers,TRUE,70,48,22,5943,2166,0,0,0,0,0,0,2221,72.5,0,0,0,1351,0,0,0,1917
1953,Minneapolis Lakers,TRUE,72,46,26,5880,2184,0,0,0,0,0,0,2067,73.1,0,0,0,1323,0,0,0,1918
1954,Minneapolis Lakers,FALSE,72,40,32,6885,2506,0,0,0,0,0,0,2517,74.4,0,0,0,1468,0,0,0,1935
1955,Minneapolis Lakers,FALSE,72,33,39,7148,2541,0,0,0,0,0,0,2627,78.6,0,0,0,1689,0,0,0,1978
1956,Minneapolis Lakers,FALSE,72,34,38,7363,2584,0,0,0,0,0,0,2899,75.7,0,0,0,1195,0,0,0,1887
1957,Minneapolis Lakers,FALSE,72,19,53,7566,2660,0,0,0,0,0,0,3007,74.7,0,0,0,1322,0,0,0,1982
1958,Minneapolis Lakers,FALSE,72,33,39,7629,2779,0,0,0,0,0,0,2718,76.2,0,0,0,1373,0,0,0,1874
1959,Minneapolis Lakers,FALSE,75,25,50,8045,3040,0,0,0,0,0,0,2691,73,0,0,0,1444,0,0,0,1813
1960,Los Angeles Lakers,FALSE,79,36,43,9006,3401,0,0,0,0,0,0,2999,73.5,0,0,0,1728,0,0,0,2043
1961,Los Angeles Lakers,FALSE,80,54,26,9482,3552,0,0,0,0,0,0,3240,73.4,0,0,0,1878,0,0,0,2057
1962,Los Angeles Lakers,FALSE,80,53,27,9242,3506,0,0,0,0,0,0,2931,76.1,0,0,0,1739,0,0,0,1775
1963,Los Angeles Lakers,FALSE,80,42,38,8774,3272,0,0,0,0,0,0,2910,76.6,0,0,0,1676,0,0,0,1997
1964,Los Angeles Lakers,FALSE,80,49,31,8948,3336,0,0,0,0,0,0,2984,76.3,0,0,0,1601,0,0,0,1998
1965,Los Angeles Lakers,FALSE,80,45,35,9557,3597,0,0,0,0,0,0,3057,77.3,0,0,0,1936,0,0,0,2035
1966,Los Angeles Lakers,FALSE,81,36,45,9764,3786,0,0,0,0,0,0,2917,75.1,0,0,0,1906,0,0,0,2168
1967,Los Angeles Lakers,FALSE,82,52,30,9937,3827,0,0,0,0,0,0,3143,72.6,0,0,0,1983,0,0,0,2152
1968,Los Angeles Lakers,FALSE,82,55,27,9204,3574,0,0,0,0,0,0,3161,65,0,0,0,2068,0,0,0,1773
1969,Los Angeles Lakers,FALSE,82,46,36,9327,3668,0,0,0,0,0,0,2641,75.4,0,0,0,2030,0,0,0,1896
1970,Los Angeles Lakers,FALSE,82,48,34,9411,3739,0,0,0,0,0,0,2717,71.1,0,0,0,2205,0,0,0,1709
1971,Los Angeles Lakers,TRUE,82,69,13,9920,3920,0,0,0,0,0,0,2833,73.4,0,0,0,2232,0,0,0,1636
1972,Los Angeles Lakers,FALSE,82,60,22,9159,3740,0,0,0,0,0,0,2264,74.2,0,0,0,2302,0,0,0,1636
1973,Los Angeles Lakers,FALSE,82,47,35,8951,3536,0,0,0,0,0,0,2443,76.9,1365,2970,4335,2179,794,653,1913,2032
1974,Los Angeles Lakers,FALSE,82,30,52,8459,3409,0,0,0,0,0,0,2182,75.2,1312,2763,4075,2091,755,423,1785,2079
1975,Los Angeles Lakers,FALSE,82,40,42,8764,3547,0,0,0,0,0,0,2164,77.2,1132,2870,4002,1939,674,528,1612,2025
1976,Los Angeles Lakers,FALSE,82,53,29,8763,3663,0,0,0,0,0,0,1941,74,1177,2628,3805,2057,801,445,1538,1867
1977,Los Angeles Lakers,FALSE,82,45,37,9044,3734,0,0,0,0,0,0,2095,75.2,1136,2647,3783,2229,802,409,1548,1964
1978,Los Angeles Lakers,FALSE,82,47,35,9260,3827,0,0,0,0,0,0,2088,76.9,949,2557,3506,2338,793,500,1569,1851
1979,Los Angeles Lakers,TRUE,82,60,22,9438,3898,0,0,20,0,0,0,2092,77.5,1085,2653,3738,2413,774,546,1639,1784
1980,Los Angeles Lakers,FALSE,82,54,28,9117,3780,0,0,17,0,0,0,2113,72.9,1165,2491,3656,2363,808,551,1557,1955
1981,Los Angeles Lakers,TRUE,82,57,25,9400,3919,0,0,13,0,0,0,2161,71.7,1258,2505,3763,2356,848,517,1468,1999
1982,Los Angeles Lakers,FALSE,82,58,24,9433,3964,7512,52.8,10,96,10.4,1495,2031,73.6,1235,2433,3668,2519,844,479,1584,1931
1983,Los Angeles Lakers,FALSE,82,54,28,9478,3854,7250,53.2,58,226,25.7,1712,2272,75.4,1095,2499,3594,2455,726,478,1578,2054
1984,Los Angeles Lakers,TRUE,82,62,20,9696,3952,7254,54.5,90,295,30.5,1702,2232,76.3,1063,2550,3613,2575,695,481,1537,1931
1985,Los Angeles Lakers,FALSE,82,62,20,9618,3834,7343,52.2,138,409,33.7,1812,2329,77.8,1101,2555,3656,2433,693,419,1467,2031
1986,Los Angeles Lakers,TRUE,82,65,17,9656,3740,7245,51.6,164,447,36.7,2012,2550,78.9,1127,2515,3642,2428,728,482,1358,1853
1987,Los Angeles Lakers,TRUE,82,62,20,9250,3576,7078,50.5,142,478,29.7,1956,2480,78.9,1073,2491,3564,2347,672,404,1318,1715
1988,Los Angeles Lakers,FALSE,82,57,25,9406,3584,7143,50.2,227,667,34,2011,2508,80.2,1094,2612,3706,2282,724,421,1344,1672
1989,Los Angeles Lakers,FALSE,82,63,19,9079,3434,7010,49,309,841,36.7,1902,2417,78.7,1097,2460,3557,2232,655,445,1226,1737
1990,Los Angeles Lakers,FALSE,82,58,24,8717,3343,6911,48.4,226,744,30.4,1805,2261,79.8,1078,2440,3518,2091,642,384,1203,1524
1991,Los Angeles Lakers,FALSE,82,43,39,8229,3183,6977,45.6,119,445,26.7,1744,2278,76.6,1156,2196,3352,1803,756,400,1089,1543
1992,Los Angeles Lakers,FALSE,82,39,43,8546,3309,6994,47.3,187,626,29.9,1741,2304,75.6,1103,2288,3391,2013,782,431,1266,1778
1993,Los Angeles Lakers,FALSE,82,33,49,8233,3291,7316,45,241,803,30,1410,1967,71.7,1260,2204,3464,1983,751,461,1197,1877
1994,Los Angeles Lakers,FALSE,82,48,34,8616,3284,7088,46.3,525,1492,35.2,1523,2072,73.5,1126,2316,3442,2078,750,563,1243,1933
1995,Los Angeles Lakers,FALSE,82,53,29,8438,3216,6706,48,477,1359,35.1,1529,2049,74.6,995,2303,3298,2080,722,516,1163,1702
1996,Los Angeles Lakers,FALSE,82,56,26,8200,3018,6642,45.4,551,1500,36.7,1613,2330,69.2,1092,2414,3506,1845,740,575,1222,1818
1997,Los Angeles Lakers,FALSE,82,61,21,8652,3146,6536,48.1,497,1415,35.1,1863,2743,67.9,1079,2471,3550,2009,734,556,1256,1859
1998,Los Angeles Lakers,FALSE,50,31,19,4950,1841,3935,46.8,241,685,35.2,1027,1503,68.3,619,1482,2101,1095,389,287,754,1231
1999,Los Angeles Lakers,TRUE,82,67,15,8267,3137,6836,45.9,344,1047,32.9,1649,2368,69.6,1117,2738,3855,1921,613,534,1143,1841
2000,Los Angeles Lakers,TRUE,82,56,26,8251,3109,6685,46.5,439,1275,34.4,1594,2333,68.3,1085,2583,3668,1888,564,490,1184,1872
2001,Los Angeles Lakers,TRUE,82,58,24,8304,3150,6840,46.1,510,1439,35.4,1494,2138,69.9,1022,2607,3629,1882,625,478,1040,1823
2002,Los Angeles Lakers,FALSE,82,50,32,8230,3091,6856,45.1,486,1367,35.6,1562,2129,73.4,1078,2554,3632,1909,639,470,1192,1874
2003,Los Angeles Lakers,FALSE,82,56,26,8052,3028,6676,45.4,365,1115,32.7,1631,2352,69.3,1001,2535,3536,1948,682,379,1132,1732
2004,Los Angeles Lakers,FALSE,82,34,48,8095,2895,6629,43.7,644,1813,35.5,1661,2137,77.7,1028,2511,3539,1672,508,344,1176,1794
2005,Los Angeles Lakers,FALSE,82,45,37,8154,2992,6607,45.3,552,1583,34.9,1618,2172,74.5,970,2488,3458,1734,628,350,1143,1894
2006,Los Angeles Lakers,FALSE,82,42,40,8474,3103,6664,46.6,608,1724,35.3,1660,2221,74.7,886,2495,3381,1850,600,421,1273,1889
2007,Los Angeles Lakers,FALSE,82,57,25,8904,3248,6818,47.6,662,1751,37.8,1746,2270,76.9,898,2722,3620,2003,654,438,1156,1691
2008,Los Angeles Lakers,TRUE,82,65,17,8768,3307,6981,47.4,547,1516,36.1,1607,2087,77,1015,2587,3602,1908,718,420,1103,1698
2009,Los Angeles Lakers,TRUE,82,57,25,8339,3144,6875,45.7,532,1562,34.1,1519,1985,76.5,973,2662,3635,1730,612,400,1096,1592
2010,Los Angeles Lakers,FALSE,82,57,25,8321,3128,6757,46.3,524,1487,35.2,1541,1979,77.9,989,2616,3605,1801,602,422,1073,1555
2011,Los Angeles Lakers,FALSE,66,41,25,6422,2429,5319,45.7,362,1112,32.6,1202,1589,75.6,799,2251,3050,1485,390,351,997,1109
2012,Los Angeles Lakers,FALSE,82,45,37,8381,3041,6640,45.8,715,2015,35.5,1584,2289,69.2,942,2732,3674,1818,576,429,1232,1467
2013,Los Angeles Lakers,FALSE,82,27,55,8442,3139,6980,45,774,2032,38.1,1390,1835,75.7,745,2620,3365,2006,611,446,1239,1627
1995,Vancouver Grizzlies,FALSE,82,15,67,7362,2772,6483,42.8,372,1129,32.9,1446,1998,72.4,957,2170,3127,1706,728,333,1347,1852
1996,Vancouver Grizzlies,FALSE,82,14,68,7313,2819,6453,43.7,445,1274,34.9,1230,1734,70.9,1023,2155,3178,1862,657,464,1301,1755
1997,Vancouver Grizzlies,FALSE,82,19,63,7923,3006,6567,45.8,325,898,36.2,1586,2145,73.9,1081,2313,3394,1960,614,349,1405,1809
1998,Vancouver Grizzlies,FALSE,50,8,42,4443,1643,3838,42.8,148,453,32.7,1009,1408,71.7,650,1359,2009,964,420,199,848,1123
1999,Vancouver Grizzlies,FALSE,82,22,60,7702,2892,6441,44.9,324,898,36.1,1594,2060,77.4,1005,2324,3329,1700,608,346,1381,1881
2000,Vancouver Grizzlies,FALSE,82,23,59,7522,2870,6539,43.9,325,947,34.3,1457,1892,77,894,2431,3325,1899,586,359,1291,1733
2001,Memphis Grizzlies,FALSE,82,23,59,7372,2851,6535,43.6,336,1096,30.7,1334,1883,70.8,984,2413,3397,1785,646,488,1344,1571
2002,Memphis Grizzlies,FALSE,82,28,54,7995,3049,6743,45.2,467,1279,36.5,1430,1936,73.9,943,2466,3409,1892,651,500,1262,1678
2003,Memphis Grizzlies,FALSE,82,50,32,7930,2963,6657,44.5,447,1314,34,1557,2143,72.7,1047,2381,3428,1915,795,565,1226,1903
2004,Memphis Grizzlies,FALSE,82,45,37,7661,2802,6271,44.7,531,1486,35.7,1526,2024,75.4,887,2307,3194,1716,699,476,1197,1910
2005,Memphis Grizzlies,FALSE,82,49,33,7558,2746,6125,44.8,590,1578,37.4,1476,2077,71.1,834,2379,3213,1586,600,442,1134,1757
2006,Memphis Grizzlies,FALSE,82,22,60,8331,2998,6448,46.5,500,1362,36.7,1835,2410,76.1,866,2375,3241,1680,564,407,1343,1827
2007,Memphis Grizzlies,FALSE,82,22,60,8257,3060,6737,45.4,620,1779,34.9,1517,2097,72.3,848,2567,3415,1574,503,386,1251,1592
2008,Memphis Grizzlies,FALSE,82,24,58,7698,2865,6311,45.4,398,1106,36,1570,2077,75.6,847,2337,3184,1423,615,385,1252,1777
2009,Memphis Grizzlies,FALSE,82,40,42,8404,3223,6875,46.9,344,1020,33.7,1614,2202,73.3,1070,2496,3566,1543,645,399,1248,1655
2010,Memphis Grizzlies,FALSE,82,46,36,8195,3200,6801,47.1,309,926,33.4,1486,1981,75,970,2391,3361,1691,771,441,1145,1705
2011,Memphis Grizzlies,FALSE,66,41,25,6269,2425,5422,44.7,277,849,32.6,1142,1504,75.9,831,1944,2775,1290,631,345,955,1316
2012,Memphis Grizzlies,FALSE,82,56,26,7659,2964,6679,44.4,382,1107,34.5,1349,1746,77.3,1059,2445,3504,1715,703,436,1144,1660
2013,Memphis Grizzlies,FALSE,82,50,32,7884,3122,6723,46.4,405,1147,35.3,1235,1666,74.1,950,2526,3476,1792,631,375,1124,1568
1970,Portland Trail Blazers,FALSE,82,29,53,9467,3721,0,0,0,0,0,0,2671,75.8,0,0,0,2227,0,0,0,2024
1971,Portland Trail Blazers,FALSE,82,18,64,8759,3462,0,0,0,0,0,0,2494,73.6,0,0,0,2090,0,0,0,1873
1972,Portland Trail Blazers,FALSE,82,21,61,8707,3588,0,0,0,0,0,0,2129,71.9,0,0,0,2102,0,0,0,1970
1973,Portland Trail Blazers,FALSE,82,27,55,8761,3585,0,0,0,0,0,0,2112,75.3,1254,2598,3852,2106,797,341,1823,2050
1974,Portland Trail Blazers,FALSE,82,38,44,8508,3414,0,0,0,0,0,0,2265,74.2,1049,2758,3807,2209,755,399,1833,2055
1975,Portland Trail Blazers,FALSE,82,37,45,8533,3417,0,0,0,0,0,0,2350,72.3,1116,2843,3959,2094,776,408,1867,2091
1976,Portland Trail Blazers,TRUE,82,49,33,9163,3623,0,0,0,0,0,0,2515,76.2,1260,2703,3963,1990,868,492,1757,2220
1977,Portland Trail Blazers,FALSE,82,58,24,8829,3556,0,0,0,0,0,0,2259,76,1187,2686,3873,2067,798,390,1625,2068
1978,Portland Trail Blazers,FALSE,82,45,37,8888,3541,0,0,0,0,0,0,2362,76.5,1256,2435,3691,1946,776,512,1658,2187
1979,Portland Trail Blazers,FALSE,82,38,44,8402,3408,0,0,26,0,0,0,2100,74.3,1295,2408,3703,1898,708,472,1552,1956
1980,Portland Trail Blazers,FALSE,82,45,37,9080,3741,0,0,25,0,0,0,2191,71.8,1243,2388,3631,2244,769,480,1518,2034
1981,Portland Trail Blazers,FALSE,82,42,40,9006,3629,0,0,29,0,0,0,2387,72,1142,2355,3497,2054,706,367,1390,2012
1982,Portland Trail Blazers,FALSE,82,46,36,8808,3459,7124,48.6,35,150,23.3,1855,2512,73.8,1180,2380,3560,2030,749,384,1495,1960
1983,Portland Trail Blazers,FALSE,82,48,34,9277,3632,7189,50.5,25,129,19.4,1988,2637,75.4,1251,2194,3445,2082,814,397,1483,2134
1984,Portland Trail Blazers,FALSE,82,42,40,9469,3708,7374,50.3,51,202,25.2,2002,2667,75.1,1202,2298,3500,2225,821,516,1481,1957
1985,Portland Trail Blazers,FALSE,82,40,42,9436,3610,7281,49.6,74,275,26.9,2142,2799,76.5,1153,2316,3469,2180,859,356,1529,2205
1986,Portland Trail Blazers,FALSE,82,49,33,9667,3650,7249,50.4,98,339,28.9,2269,2928,77.5,1180,2413,3593,2359,767,387,1546,2082
1987,Portland Trail Blazers,FALSE,82,53,29,9518,3661,7460,49.1,117,380,30.8,2079,2701,77,1251,2491,3742,2307,726,347,1351,2091
1988,Portland Trail Blazers,FALSE,82,39,43,9395,3695,7795,47.4,216,645,33.5,1789,2416,74,1384,2381,3765,2212,828,388,1435,2026
1989,Portland Trail Blazers,FALSE,82,59,23,9365,3572,7547,47.3,190,565,33.6,2031,2734,74.3,1355,2552,3907,2085,749,364,1356,2048
1990,Portland Trail Blazers,FALSE,82,63,19,9407,3577,7369,48.5,341,904,37.7,1912,2538,75.3,1202,2561,3763,2254,724,410,1309,1975
1991,Portland Trail Blazers,FALSE,82,57,25,9135,3476,7352,47.3,325,944,34.4,1858,2463,75.4,1294,2549,3843,2065,753,410,1328,1983
1992,Portland Trail Blazers,FALSE,82,51,31,8898,3361,7343,45.8,275,843,32.6,1901,2551,74.5,1226,2507,3733,1969,770,425,1215,1892
1993,Portland Trail Blazers,FALSE,82,47,35,8795,3371,7427,45.4,272,770,35.3,1781,2396,74.3,1302,2460,3762,2070,744,409,1210,1827
1994,Portland Trail Blazers,FALSE,82,44,38,8451,3217,7134,45.1,462,1266,36.5,1555,2230,69.7,1352,2443,3795,1846,668,467,1212,2024
1995,Portland Trail Blazers,FALSE,82,44,38,8145,3064,6688,45.8,480,1358,35.3,1537,2321,66.2,1160,2577,3737,1760,594,417,1377,1859
1996,Portland Trail Blazers,FALSE,82,49,33,8114,3000,6465,46.4,501,1401,35.8,1613,2261,71.3,1058,2494,3552,1710,640,435,1357,1928
1997,Portland Trail Blazers,FALSE,82,46,36,7734,2885,6397,45.1,324,1047,30.9,1640,2226,73.7,1086,2522,3608,1766,585,464,1383,1859
1998,Portland Trail Blazers,FALSE,50,35,15,4742,1747,3956,44.2,246,675,36.4,1002,1349,74.3,646,1570,2216,1073,411,290,771,1126
1999,Portland Trail Blazers,FALSE,82,59,23,7991,3021,6430,47,407,1128,36.1,1542,2029,76,966,2560,3526,1925,633,396,1243,1865
2000,Portland Trail Blazers,FALSE,82,50,32,7824,3004,6417,46.8,369,1057,34.9,1447,1899,76.2,960,2481,3441,1963,672,419,1257,1745
2001,Portland Trail Blazers,FALSE,82,49,33,7925,3004,6671,45,466,1318,35.4,1451,1901,76.3,1085,2444,3529,1926,702,368,1172,1613
2002,Portland Trail Blazers,FALSE,82,50,32,7803,2987,6491,46,379,1150,33,1450,1947,74.5,992,2378,3370,1860,725,316,1248,1634
2003,Portland Trail Blazers,FALSE,82,41,41,7440,2898,6467,44.8,381,1102,34.6,1263,1728,73.1,1040,2376,3416,1768,613,443,1213,1554
2004,Portland Trail Blazers,FALSE,82,27,55,7621,2896,6422,45.1,420,1161,36.2,1409,1944,72.5,970,2404,3374,1722,583,544,1308,1703
2005,Portland Trail Blazers,FALSE,82,21,61,7285,2791,6267,44.5,364,1042,34.9,1339,1944,68.9,886,2203,3089,1490,529,435,1205,1828
